GEOID,NAME,variable,estimate,moe,year,label_short
2502718560,East Brookfield,B08301_016,0,12,2018,Taxicab
2502718560,East Brookfield,B08301_017,0,12,2018,Motorcycle
2502718560,East Brookfield,B08301_018,0,12,2018,Bicycle
2502718560,East Brookfield,B08301_019,12,18,2018,Walked
2502718560,East Brookfield,B08301_020,0,12,2018,Other means
2502718560,East Brookfield,B08301_021,72,40,2018,Worked at home
2502726430,Grafton,B08301_003,8084,312,2018,"Car, truck, or van - Drove alone"
2502726430,Grafton,B08301_004,670,179,2018,"Car, truck, or van - Carpooled"
2502726430,Grafton,B08301_010,374,130,2018,Public transportation (excluding taxicab)
2502726430,Grafton,B08301_016,0,19,2018,Taxicab
2502726430,Grafton,B08301_017,20,22,2018,Motorcycle
2502726430,Grafton,B08301_018,13,18,2018,Bicycle
2502726430,Grafton,B08301_019,27,34,2018,Walked
2502726430,Grafton,B08301_020,90,84,2018,Other means
2502726430,Grafton,B08301_021,637,161,2018,Worked at home
2502728740,Hardwick,B08301_003,1074,148,2018,"Car, truck, or van - Drove alone"
2502728740,Hardwick,B08301_004,34,24,2018,"Car, truck, or van - Carpooled"
2502728740,Hardwick,B08301_010,0,12,2018,Public transportation (excluding taxicab)
2502728740,Hardwick,B08301_016,0,12,2018,Taxicab
2502728740,Hardwick,B08301_017,0,12,2018,Motorcycle
2502728740,Hardwick,B08301_018,0,12,2018,Bicycle
2502728740,Hardwick,B08301_019,77,56,2018,Walked
2502728740,Hardwick,B08301_020,8,11,2018,Other means
2502728740,Hardwick,B08301_021,77,42,2018,Worked at home
2502730560,Holden,B08301_003,8689,334,2018,"Car, truck, or van - Drove alone"
2502730560,Holden,B08301_004,627,167,2018,"Car, truck, or van - Carpooled"
2502730560,Holden,B08301_010,41,31,2018,Public transportation (excluding taxicab)
2502730560,Holden,B08301_016,0,19,2018,Taxicab
2502730560,Holden,B08301_017,21,32,2018,Motorcycle
2502730560,Holden,B08301_018,8,13,2018,Bicycle
2502730560,Holden,B08301_019,57,38,2018,Walked
2502730560,Holden,B08301_020,47,36,2018,Other means
2502730560,Holden,B08301_021,447,124,2018,Worked at home
2502730945,Hopedale,B08301_003,2474,270,2018,"Car, truck, or van - Drove alone"
2502730945,Hopedale,B08301_004,123,87,2018,"Car, truck, or van - Carpooled"
2502730945,Hopedale,B08301_010,116,105,2018,Public transportation (excluding taxicab)
2502730945,Hopedale,B08301_016,0,17,2018,Taxicab
2502730945,Hopedale,B08301_017,44,49,2018,Motorcycle
2502730945,Hopedale,B08301_018,0,17,2018,Bicycle
2502730945,Hopedale,B08301_019,47,76,2018,Walked
2502730945,Hopedale,B08301_020,38,59,2018,Other means
2502730945,Hopedale,B08301_021,180,90,2018,Worked at home
2502734795,Leicester,B08301_003,5192,425,2018,"Car, truck, or van - Drove alone"
2502734795,Leicester,B08301_004,608,190,2018,"Car, truck, or van - Carpooled"
2502734795,Leicester,B08301_010,40,40,2018,Public transportation (excluding taxicab)
2502734795,Leicester,B08301_016,12,19,2018,Taxicab
2502734795,Leicester,B08301_017,0,19,2018,Motorcycle
2502734795,Leicester,B08301_018,0,19,2018,Bicycle
2502734795,Leicester,B08301_019,75,54,2018,Walked
2502734795,Leicester,B08301_020,70,83,2018,Other means
2502734795,Leicester,B08301_021,273,153,2018,Worked at home
2502740255,Mendon,B08301_003,2784,268,2018,"Car, truck, or van - Drove alone"
2502740255,Mendon,B08301_004,108,79,2018,"Car, truck, or van - Carpooled"
2502740255,Mendon,B08301_010,195,92,2018,Public transportation (excluding taxicab)
2502740255,Mendon,B08301_016,0,17,2018,Taxicab
2502740255,Mendon,B08301_017,0,17,2018,Motorcycle
2502740255,Mendon,B08301_018,0,17,2018,Bicycle
2502740255,Mendon,B08301_019,26,31,2018,Walked
2502740255,Mendon,B08301_020,0,17,2018,Other means
2502740255,Mendon,B08301_021,340,147,2018,Worked at home
2502741340,Millbury,B08301_003,5936,391,2018,"Car, truck, or van - Drove alone"
2502741340,Millbury,B08301_004,634,257,2018,"Car, truck, or van - Carpooled"
2502741340,Millbury,B08301_010,51,43,2018,Public transportation (excluding taxicab)
2502741340,Millbury,B08301_016,0,19,2018,Taxicab
2502741340,Millbury,B08301_017,0,19,2018,Motorcycle
2502741340,Millbury,B08301_018,0,19,2018,Bicycle
2502741340,Millbury,B08301_019,159,95,2018,Walked
2502741340,Millbury,B08301_020,275,153,2018,Other means
2502741340,Millbury,B08301_021,226,123,2018,Worked at home
2502741585,Millville,B08301_003,1486,136,2018,"Car, truck, or van - Drove alone"
2502741585,Millville,B08301_004,85,41,2018,"Car, truck, or van - Carpooled"
2502741585,Millville,B08301_010,49,38,2018,Public transportation (excluding taxicab)
2502741585,Millville,B08301_016,0,12,2018,Taxicab
2502741585,Millville,B08301_017,0,12,2018,Motorcycle
2502741585,Millville,B08301_018,10,16,2018,Bicycle
2502741585,Millville,B08301_019,0,12,2018,Walked
2502741585,Millville,B08301_020,45,37,2018,Other means
2502741585,Millville,B08301_021,82,36,2018,Worked at home
2502745105,New Braintree,B08301_003,500,76,2018,"Car, truck, or van - Drove alone"
2502745105,New Braintree,B08301_004,56,21,2018,"Car, truck, or van - Carpooled"
2502745105,New Braintree,B08301_010,3,4,2018,Public transportation (excluding taxicab)
2502745105,New Braintree,B08301_016,0,12,2018,Taxicab
2502745105,New Braintree,B08301_017,0,12,2018,Motorcycle
2502745105,New Braintree,B08301_018,0,12,2018,Bicycle
2502745105,New Braintree,B08301_019,13,11,2018,Walked
2502745105,New Braintree,B08301_020,2,3,2018,Other means
2502745105,New Braintree,B08301_021,61,44,2018,Worked at home
2502746820,Northborough,B08301_003,6871,373,2018,"Car, truck, or van - Drove alone"
2502746820,Northborough,B08301_004,422,157,2018,"Car, truck, or van - Carpooled"
2502746820,Northborough,B08301_010,92,49,2018,Public transportation (excluding taxicab)
2502746820,Northborough,B08301_016,0,19,2018,Taxicab
2502746820,Northborough,B08301_017,0,19,2018,Motorcycle
2502746820,Northborough,B08301_018,0,19,2018,Bicycle
2502746820,Northborough,B08301_019,119,79,2018,Walked
2502746820,Northborough,B08301_020,24,38,2018,Other means
2502746820,Northborough,B08301_021,802,202,2018,Worked at home
2502746925,Northbridge,B08301_003,7438,592,2018,"Car, truck, or van - Drove alone"
2502746925,Northbridge,B08301_004,422,156,2018,"Car, truck, or van - Carpooled"
2502746925,Northbridge,B08301_010,48,44,2018,Public transportation (excluding taxicab)
2502746925,Northbridge,B08301_016,0,19,2018,Taxicab
2502746925,Northbridge,B08301_017,15,24,2018,Motorcycle
2502746925,Northbridge,B08301_018,16,24,2018,Bicycle
2502746925,Northbridge,B08301_019,40,53,2018,Walked
2502746925,Northbridge,B08301_020,193,113,2018,Other means
2502746925,Northbridge,B08301_021,441,161,2018,Worked at home
2502747135,North Brookfield,B08301_003,2169,190,2018,"Car, truck, or van - Drove alone"
2502747135,North Brookfield,B08301_004,167,79,2018,"Car, truck, or van - Carpooled"
2502747135,North Brookfield,B08301_010,41,48,2018,Public transportation (excluding taxicab)
2502747135,North Brookfield,B08301_016,0,12,2018,Taxicab
2502747135,North Brookfield,B08301_017,0,12,2018,Motorcycle
2502747135,North Brookfield,B08301_018,0,12,2018,Bicycle
2502747135,North Brookfield,B08301_019,93,51,2018,Walked
2502747135,North Brookfield,B08301_020,0,12,2018,Other means
2502747135,North Brookfield,B08301_021,92,42,2018,Worked at home
2502750670,Oakham,B08301_003,819,76,2018,"Car, truck, or van - Drove alone"
2502750670,Oakham,B08301_004,103,50,2018,"Car, truck, or van - Carpooled"
2502750670,Oakham,B08301_010,7,7,2018,Public transportation (excluding taxicab)
2502750670,Oakham,B08301_016,0,12,2018,Taxicab
2502750670,Oakham,B08301_017,0,12,2018,Motorcycle
