GEOID,NAME,variable,estimate,moe,year,label_short
2502712715,Charlton,B08303_013,209,111,2010,90 or more minutes
2502717300,Douglas,B08303_002,41,46,2010,Less than 5 minutes
2502717300,Douglas,B08303_003,191,105,2010,5 to 9 minutes
2502717300,Douglas,B08303_004,397,162,2010,10 to 14 minutes
2502717300,Douglas,B08303_005,303,116,2010,15 to 19 minutes
2502717300,Douglas,B08303_006,487,136,2010,20 to 24 minutes
2502717300,Douglas,B08303_007,263,119,2010,25 to 29 minutes
2502717300,Douglas,B08303_008,722,200,2010,30 to 34 minutes
2502717300,Douglas,B08303_009,525,185,2010,35 to 39 minutes
2502717300,Douglas,B08303_010,241,95,2010,40 to 44 minutes
2502717300,Douglas,B08303_011,778,189,2010,45 to 59 minutes
2502717300,Douglas,B08303_012,511,133,2010,60 to 89 minutes
2502717300,Douglas,B08303_013,75,52,2010,90 or more minutes
2502717685,Dudley,B08303_002,292,155,2010,Less than 5 minutes
2502717685,Dudley,B08303_003,830,174,2010,5 to 9 minutes
2502717685,Dudley,B08303_004,807,171,2010,10 to 14 minutes
2502717685,Dudley,B08303_005,538,148,2010,15 to 19 minutes
2502717685,Dudley,B08303_006,501,160,2010,20 to 24 minutes
2502717685,Dudley,B08303_007,408,148,2010,25 to 29 minutes
2502717685,Dudley,B08303_008,609,166,2010,30 to 34 minutes
2502717685,Dudley,B08303_009,238,113,2010,35 to 39 minutes
2502717685,Dudley,B08303_010,206,89,2010,40 to 44 minutes
2502717685,Dudley,B08303_011,472,131,2010,45 to 59 minutes
2502717685,Dudley,B08303_012,426,132,2010,60 to 89 minutes
2502717685,Dudley,B08303_013,137,58,2010,90 or more minutes
2502718560,East Brookfield,B08303_002,38,24,2010,Less than 5 minutes
2502718560,East Brookfield,B08303_003,80,47,2010,5 to 9 minutes
2502718560,East Brookfield,B08303_004,107,56,2010,10 to 14 minutes
2502718560,East Brookfield,B08303_005,69,36,2010,15 to 19 minutes
2502718560,East Brookfield,B08303_006,101,56,2010,20 to 24 minutes
2502718560,East Brookfield,B08303_007,43,31,2010,25 to 29 minutes
2502718560,East Brookfield,B08303_008,140,60,2010,30 to 34 minutes
2502718560,East Brookfield,B08303_009,78,47,2010,35 to 39 minutes
2502718560,East Brookfield,B08303_010,82,50,2010,40 to 44 minutes
2502718560,East Brookfield,B08303_011,189,81,2010,45 to 59 minutes
2502718560,East Brookfield,B08303_012,108,74,2010,60 to 89 minutes
2502718560,East Brookfield,B08303_013,16,17,2010,90 or more minutes
2502726430,Grafton,B08303_002,137,81,2010,Less than 5 minutes
2502726430,Grafton,B08303_003,560,155,2010,5 to 9 minutes
2502726430,Grafton,B08303_004,637,165,2010,10 to 14 minutes
2502726430,Grafton,B08303_005,841,200,2010,15 to 19 minutes
2502726430,Grafton,B08303_006,1100,173,2010,20 to 24 minutes
2502726430,Grafton,B08303_007,438,124,2010,25 to 29 minutes
2502726430,Grafton,B08303_008,1597,257,2010,30 to 34 minutes
2502726430,Grafton,B08303_009,230,111,2010,35 to 39 minutes
2502726430,Grafton,B08303_010,295,109,2010,40 to 44 minutes
2502726430,Grafton,B08303_011,1040,202,2010,45 to 59 minutes
2502726430,Grafton,B08303_012,1176,251,2010,60 to 89 minutes
2502726430,Grafton,B08303_013,282,128,2010,90 or more minutes
2502728740,Hardwick,B08303_002,77,42,2010,Less than 5 minutes
2502728740,Hardwick,B08303_003,119,83,2010,5 to 9 minutes
2502728740,Hardwick,B08303_004,109,65,2010,10 to 14 minutes
2502728740,Hardwick,B08303_005,119,50,2010,15 to 19 minutes
2502728740,Hardwick,B08303_006,135,76,2010,20 to 24 minutes
2502728740,Hardwick,B08303_007,24,20,2010,25 to 29 minutes
2502728740,Hardwick,B08303_008,154,105,2010,30 to 34 minutes
2502728740,Hardwick,B08303_009,15,17,2010,35 to 39 minutes
2502728740,Hardwick,B08303_010,179,70,2010,40 to 44 minutes
2502728740,Hardwick,B08303_011,176,69,2010,45 to 59 minutes
2502728740,Hardwick,B08303_012,83,45,2010,60 to 89 minutes
2502728740,Hardwick,B08303_013,57,77,2010,90 or more minutes
2502730560,Holden,B08303_002,197,74,2010,Less than 5 minutes
2502730560,Holden,B08303_003,745,190,2010,5 to 9 minutes
2502730560,Holden,B08303_004,1033,205,2010,10 to 14 minutes
2502730560,Holden,B08303_005,1236,211,2010,15 to 19 minutes
2502730560,Holden,B08303_006,1397,216,2010,20 to 24 minutes
2502730560,Holden,B08303_007,534,144,2010,25 to 29 minutes
2502730560,Holden,B08303_008,941,158,2010,30 to 34 minutes
2502730560,Holden,B08303_009,295,112,2010,35 to 39 minutes
2502730560,Holden,B08303_010,294,92,2010,40 to 44 minutes
2502730560,Holden,B08303_011,672,131,2010,45 to 59 minutes
2502730560,Holden,B08303_012,829,177,2010,60 to 89 minutes
2502730560,Holden,B08303_013,133,59,2010,90 or more minutes
2502730945,Hopedale,B08303_002,177,114,2010,Less than 5 minutes
2502730945,Hopedale,B08303_003,317,102,2010,5 to 9 minutes
2502730945,Hopedale,B08303_004,369,112,2010,10 to 14 minutes
2502730945,Hopedale,B08303_005,351,136,2010,15 to 19 minutes
2502730945,Hopedale,B08303_006,169,74,2010,20 to 24 minutes
2502730945,Hopedale,B08303_007,225,101,2010,25 to 29 minutes
2502730945,Hopedale,B08303_008,326,133,2010,30 to 34 minutes
2502730945,Hopedale,B08303_009,81,58,2010,35 to 39 minutes
2502730945,Hopedale,B08303_010,323,159,2010,40 to 44 minutes
2502730945,Hopedale,B08303_011,182,78,2010,45 to 59 minutes
2502730945,Hopedale,B08303_012,226,87,2010,60 to 89 minutes
2502730945,Hopedale,B08303_013,102,75,2010,90 or more minutes
2502734795,Leicester,B08303_002,163,92,2010,Less than 5 minutes
2502734795,Leicester,B08303_003,372,130,2010,5 to 9 minutes
2502734795,Leicester,B08303_004,483,134,2010,10 to 14 minutes
2502734795,Leicester,B08303_005,610,186,2010,15 to 19 minutes
2502734795,Leicester,B08303_006,1348,295,2010,20 to 24 minutes
2502734795,Leicester,B08303_007,320,101,2010,25 to 29 minutes
2502734795,Leicester,B08303_008,982,246,2010,30 to 34 minutes
2502734795,Leicester,B08303_009,148,88,2010,35 to 39 minutes
2502734795,Leicester,B08303_010,86,57,2010,40 to 44 minutes
2502734795,Leicester,B08303_011,723,197,2010,45 to 59 minutes
2502734795,Leicester,B08303_012,209,86,2010,60 to 89 minutes
2502734795,Leicester,B08303_013,213,112,2010,90 or more minutes
2502740255,Mendon,B08303_002,68,43,2010,Less than 5 minutes
2502740255,Mendon,B08303_003,229,83,2010,5 to 9 minutes
2502740255,Mendon,B08303_004,342,93,2010,10 to 14 minutes
2502740255,Mendon,B08303_005,257,84,2010,15 to 19 minutes
2502740255,Mendon,B08303_006,232,92,2010,20 to 24 minutes
2502740255,Mendon,B08303_007,117,84,2010,25 to 29 minutes
2502740255,Mendon,B08303_008,300,133,2010,30 to 34 minutes
2502740255,Mendon,B08303_009,88,44,2010,35 to 39 minutes
2502740255,Mendon,B08303_010,268,131,2010,40 to 44 minutes
2502740255,Mendon,B08303_011,374,105,2010,45 to 59 minutes
2502740255,Mendon,B08303_012,258,95,2010,60 to 89 minutes
2502740255,Mendon,B08303_013,146,75,2010,90 or more minutes
2502741340,Millbury,B08303_002,183,88,2010,Less than 5 minutes
2502741340,Millbury,B08303_003,744,135,2010,5 to 9 minutes
2502741340,Millbury,B08303_004,910,229,2010,10 to 14 minutes
2502741340,Millbury,B08303_005,1110,228,2010,15 to 19 minutes
2502741340,Millbury,B08303_006,1077,284,2010,20 to 24 minutes
2502741340,Millbury,B08303_007,387,129,2010,25 to 29 minutes
2502741340,Millbury,B08303_008,800,225,2010,30 to 34 minutes
2502741340,Millbury,B08303_009,307,102,2010,35 to 39 minutes
2502741340,Millbury,B08303_010,372,149,2010,40 to 44 minutes
2502741340,Millbury,B08303_011,450,146,2010,45 to 59 minutes
2502741340,Millbury,B08303_012,342,81,2010,60 to 89 minutes
2502741340,Millbury,B08303_013,177,95,2010,90 or more minutes
2502741585,Millville,B08303_002,23,17,2010,Less than 5 minutes
2502741585,Millville,B08303_003,121,55,2010,5 to 9 minutes
2502741585,Millville,B08303_004,94,33,2010,10 to 14 minutes
2502741585,Millville,B08303_005,195,60,2010,15 to 19 minutes
2502741585,Millville,B08303_006,319,84,2010,20 to 24 minutes
2502741585,Millville,B08303_007,91,43,2010,25 to 29 minutes
2502741585,Millville,B08303_008,278,95,2010,30 to 34 minutes
2502741585,Millville,B08303_009,72,35,2010,35 to 39 minutes
2502741585,Millville,B08303_010,54,39,2010,40 to 44 minutes
2502741585,Millville,B08303_011,188,61,2010,45 to 59 minutes
2502741585,Millville,B08303_012,88,43,2010,60 to 89 minutes
2502741585,Millville,B08303_013,48,32,2010,90 or more minutes
2502745105,New Braintree,B08303_002,8,8,2010,Less than 5 minutes
2502745105,New Braintree,B08303_003,42,26,2010,5 to 9 minutes
2502745105,New Braintree,B08303_004,42,20,2010,10 to 14 minutes
2502745105,New Braintree,B08303_005,46,24,2010,15 to 19 minutes
2502745105,New Braintree,B08303_006,57,30,2010,20 to 24 minutes
2502745105,New Braintree,B08303_007,67,50,2010,25 to 29 minutes
2502745105,New Braintree,B08303_008,20,12,2010,30 to 34 minutes
2502745105,New Braintree,B08303_009,16,12,2010,35 to 39 minutes
2502745105,New Braintree,B08303_010,87,30,2010,40 to 44 minutes
2502745105,New Braintree,B08303_011,61,23,2010,45 to 59 minutes
2502745105,New Braintree,B08303_012,44,23,2010,60 to 89 minutes
2502745105,New Braintree,B08303_013,15,14,2010,90 or more minutes
2502746820,Northborough,B08303_002,197,94,2010,Less than 5 minutes
2502746820,Northborough,B08303_003,818,194,2010,5 to 9 minutes
2502746820,Northborough,B08303_004,932,218,2010,10 to 14 minutes
2502746820,Northborough,B08303_005,1003,161,2010,15 to 19 minutes
2502746820,Northborough,B08303_006,1121,196,2010,20 to 24 minutes
2502746820,Northborough,B08303_007,311,109,2010,25 to 29 minutes
2502746820,Northborough,B08303_008,655,177,2010,30 to 34 minutes
2502746820,Northborough,B08303_009,252,104,2010,35 to 39 minutes
2502746820,Northborough,B08303_010,280,128,2010,40 to 44 minutes
2502746820,Northborough,B08303_011,511,119,2010,45 to 59 minutes
2502746820,Northborough,B08303_012,475,118,2010,60 to 89 minutes
2502746820,Northborough,B08303_013,213,90,2010,90 or more minutes
2502746925,Northbridge,B08303_002,377,140,2010,Less than 5 minutes
2502746925,Northbridge,B08303_003,870,211,2010,5 to 9 minutes
2502746925,Northbridge,B08303_004,948,242,2010,10 to 14 minutes
2502746925,Northbridge,B08303_005,637,161,2010,15 to 19 minutes
2502746925,Northbridge,B08303_006,599,153,2010,20 to 24 minutes
2502746925,Northbridge,B08303_007,526,168,2010,25 to 29 minutes
2502746925,Northbridge,B08303_008,1119,201,2010,30 to 34 minutes
2502746925,Northbridge,B08303_009,229,109,2010,35 to 39 minutes
2502746925,Northbridge,B08303_010,445,136,2010,40 to 44 minutes
2502746925,Northbridge,B08303_011,732,203,2010,45 to 59 minutes
2502746925,Northbridge,B08303_012,699,169,2010,60 to 89 minutes
2502746925,Northbridge,B08303_013,113,75,2010,90 or more minutes
2502747135,North Brookfield,B08303_002,134,74,2010,Less than 5 minutes
2502747135,North Brookfield,B08303_003,170,84,2010,5 to 9 minutes
2502747135,North Brookfield,B08303_004,248,87,2010,10 to 14 minutes
2502747135,North Brookfield,B08303_005,128,71,2010,15 to 19 minutes
2502747135,North Brookfield,B08303_006,312,132,2010,20 to 24 minutes
2502747135,North Brookfield,B08303_007,89,56,2010,25 to 29 minutes
2502747135,North Brookfield,B08303_008,353,123,2010,30 to 34 minutes
2502747135,North Brookfield,B08303_009,82,86,2010,35 to 39 minutes
2502747135,North Brookfield,B08303_010,120,66,2010,40 to 44 minutes
2502747135,North Brookfield,B08303_011,381,124,2010,45 to 59 minutes
2502747135,North Brookfield,B08303_012,215,117,2010,60 to 89 minutes
2502747135,North Brookfield,B08303_013,61,66,2010,90 or more minutes
2502750670,Oakham,B08303_002,7,7,2010,Less than 5 minutes
2502750670,Oakham,B08303_003,64,28,2010,5 to 9 minutes
2502750670,Oakham,B08303_004,79,42,2010,10 to 14 minutes
2502750670,Oakham,B08303_005,118,33,2010,15 to 19 minutes
2502750670,Oakham,B08303_006,53,20,2010,20 to 24 minutes
2502750670,Oakham,B08303_007,46,21,2010,25 to 29 minutes
2502750670,Oakham,B08303_008,139,41,2010,30 to 34 minutes
2502750670,Oakham,B08303_009,107,39,2010,35 to 39 minutes
2502750670,Oakham,B08303_010,122,32,2010,40 to 44 minutes
2502750670,Oakham,B08303_011,134,33,2010,45 to 59 minutes
2502750670,Oakham,B08303_012,116,37,2010,60 to 89 minutes
2502750670,Oakham,B08303_013,16,10,2010,90 or more minutes
2502751825,Oxford,B08303_002,245,107,2010,Less than 5 minutes
2502751825,Oxford,B08303_003,575,199,2010,5 to 9 minutes
2502751825,Oxford,B08303_004,590,186,2010,10 to 14 minutes
2502751825,Oxford,B08303_005,790,213,2010,15 to 19 minutes
2502751825,Oxford,B08303_006,1663,395,2010,20 to 24 minutes
2502751825,Oxford,B08303_007,553,187,2010,25 to 29 minutes
2502751825,Oxford,B08303_008,1111,241,2010,30 to 34 minutes
2502751825,Oxford,B08303_009,137,96,2010,35 to 39 minutes
2502751825,Oxford,B08303_010,245,125,2010,40 to 44 minutes
2502751825,Oxford,B08303_011,569,160,2010,45 to 59 minutes
2502751825,Oxford,B08303_012,342,116,2010,60 to 89 minutes
2502751825,Oxford,B08303_013,171,90,2010,90 or more minutes
2502752420,Paxton,B08303_002,129,52,2010,Less than 5 minutes
2502752420,Paxton,B08303_003,121,54,2010,5 to 9 minutes
2502752420,Paxton,B08303_004,168,54,2010,10 to 14 minutes
2502752420,Paxton,B08303_005,305,99,2010,15 to 19 minutes
2502752420,Paxton,B08303_006,351,98,2010,20 to 24 minutes
2502752420,Paxton,B08303_007,237,90,2010,25 to 29 minutes
2502752420,Paxton,B08303_008,194,92,2010,30 to 34 minutes
2502752420,Paxton,B08303_009,129,77,2010,35 to 39 minutes
2502752420,Paxton,B08303_010,88,52,2010,40 to 44 minutes
2502752420,Paxton,B08303_011,163,53,2010,45 to 59 minutes
2502752420,Paxton,B08303_012,171,94,2010,60 to 89 minutes
2502752420,Paxton,B08303_013,32,34,2010,90 or more minutes
2502755395,Princeton,B08303_002,21,18,2010,Less than 5 minutes
2502755395,Princeton,B08303_003,26,26,2010,5 to 9 minutes
2502755395,Princeton,B08303_004,140,92,2010,10 to 14 minutes
2502755395,Princeton,B08303_005,186,93,2010,15 to 19 minutes
2502755395,Princeton,B08303_006,335,118,2010,20 to 24 minutes
2502755395,Princeton,B08303_007,204,71,2010,25 to 29 minutes
2502755395,Princeton,B08303_008,373,121,2010,30 to 34 minutes
2502755395,Princeton,B08303_009,43,37,2010,35 to 39 minutes
2502755395,Princeton,B08303_010,49,33,2010,40 to 44 minutes
2502755395,Princeton,B08303_011,161,74,2010,45 to 59 minutes
2502755395,Princeton,B08303_012,113,68,2010,60 to 89 minutes
2502755395,Princeton,B08303_013,87,101,2010,90 or more minutes
2502758825,Rutland,B08303_002,160,74,2010,Less than 5 minutes
2502758825,Rutland,B08303_003,256,110,2010,5 to 9 minutes
2502758825,Rutland,B08303_004,309,123,2010,10 to 14 minutes
2502758825,Rutland,B08303_005,208,82,2010,15 to 19 minutes
2502758825,Rutland,B08303_006,569,189,2010,20 to 24 minutes
2502758825,Rutland,B08303_007,335,135,2010,25 to 29 minutes
2502758825,Rutland,B08303_008,702,190,2010,30 to 34 minutes
2502758825,Rutland,B08303_009,195,90,2010,35 to 39 minutes
2502758825,Rutland,B08303_010,437,181,2010,40 to 44 minutes
2502758825,Rutland,B08303_011,359,121,2010,45 to 59 minutes
2502758825,Rutland,B08303_012,216,133,2010,60 to 89 minutes
2502758825,Rutland,B08303_013,33,32,2010,90 or more minutes
2502761800,Shrewsbury,B08303_002,271,126,2010,Less than 5 minutes
2502761800,Shrewsbury,B08303_003,1317,253,2010,5 to 9 minutes
2502761800,Shrewsbury,B08303_004,2658,358,2010,10 to 14 minutes
2502761800,Shrewsbury,B08303_005,3042,395,2010,15 to 19 minutes
2502761800,Shrewsbury,B08303_006,2842,361,2010,20 to 24 minutes
2502761800,Shrewsbury,B08303_007,685,172,2010,25 to 29 minutes
2502761800,Shrewsbury,B08303_008,1709,260,2010,30 to 34 minutes
2502761800,Shrewsbury,B08303_009,414,162,2010,35 to 39 minutes
2502761800,Shrewsbury,B08303_010,536,159,2010,40 to 44 minutes
2502761800,Shrewsbury,B08303_011,1349,251,2010,45 to 59 minutes
2502761800,Shrewsbury,B08303_012,1452,262,2010,60 to 89 minutes
2502761800,Shrewsbury,B08303_013,461,126,2010,90 or more minutes
2502766105,Spencer,B08303_002,219,114,2010,Less than 5 minutes
2502766105,Spencer,B08303_003,441,154,2010,5 to 9 minutes
2502766105,Spencer,B08303_004,341,163,2010,10 to 14 minutes
2502766105,Spencer,B08303_005,352,133,2010,15 to 19 minutes
2502766105,Spencer,B08303_006,571,169,2010,20 to 24 minutes
2502766105,Spencer,B08303_007,526,173,2010,25 to 29 minutes
2502766105,Spencer,B08303_008,1085,239,2010,30 to 34 minutes
2502766105,Spencer,B08303_009,351,146,2010,35 to 39 minutes
2502766105,Spencer,B08303_010,312,118,2010,40 to 44 minutes
2502766105,Spencer,B08303_011,672,154,2010,45 to 59 minutes
2502766105,Spencer,B08303_012,730,201,2010,60 to 89 minutes
2502766105,Spencer,B08303_013,129,69,2010,90 or more minutes
2502768155,Sturbridge,B08303_002,120,82,2010,Less than 5 minutes
2502768155,Sturbridge,B08303_003,355,127,2010,5 to 9 minutes
2502768155,Sturbridge,B08303_004,509,163,2010,10 to 14 minutes
2502768155,Sturbridge,B08303_005,430,138,2010,15 to 19 minutes
2502768155,Sturbridge,B08303_006,562,178,2010,20 to 24 minutes
2502768155,Sturbridge,B08303_007,207,107,2010,25 to 29 minutes
2502768155,Sturbridge,B08303_008,459,154,2010,30 to 34 minutes
2502768155,Sturbridge,B08303_009,363,146,2010,35 to 39 minutes
2502768155,Sturbridge,B08303_010,292,158,2010,40 to 44 minutes
2502768155,Sturbridge,B08303_011,531,146,2010,45 to 59 minutes
2502768155,Sturbridge,B08303_012,303,108,2010,60 to 89 minutes
2502768155,Sturbridge,B08303_013,172,80,2010,90 or more minutes
2502768610,Sutton,B08303_002,89,61,2010,Less than 5 minutes
2502768610,Sutton,B08303_003,440,233,2010,5 to 9 minutes
2502768610,Sutton,B08303_004,615,184,2010,10 to 14 minutes
2502768610,Sutton,B08303_005,578,168,2010,15 to 19 minutes
2502768610,Sutton,B08303_006,640,167,2010,20 to 24 minutes
2502768610,Sutton,B08303_007,263,118,2010,25 to 29 minutes
2502768610,Sutton,B08303_008,676,181,2010,30 to 34 minutes
2502768610,Sutton,B08303_009,186,116,2010,35 to 39 minutes
2502768610,Sutton,B08303_010,204,88,2010,40 to 44 minutes
2502768610,Sutton,B08303_011,371,134,2010,45 to 59 minutes
2502768610,Sutton,B08303_012,353,115,2010,60 to 89 minutes
2502768610,Sutton,B08303_013,130,72,2010,90 or more minutes
2502771480,Upton,B08303_002,16,25,2010,Less than 5 minutes
2502771480,Upton,B08303_003,239,99,2010,5 to 9 minutes
2502771480,Upton,B08303_004,282,116,2010,10 to 14 minutes
2502771480,Upton,B08303_005,332,130,2010,15 to 19 minutes
2502771480,Upton,B08303_006,418,121,2010,20 to 24 minutes
2502771480,Upton,B08303_007,179,97,2010,25 to 29 minutes
2502771480,Upton,B08303_008,577,172,2010,30 to 34 minutes
2502771480,Upton,B08303_009,135,67,2010,35 to 39 minutes
2502771480,Upton,B08303_010,289,127,2010,40 to 44 minutes
2502771480,Upton,B08303_011,335,116,2010,45 to 59 minutes
2502771480,Upton,B08303_012,323,131,2010,60 to 89 minutes
2502771480,Upton,B08303_013,56,47,2010,90 or more minutes
2502771620,Uxbridge,B08303_002,227,113,2010,Less than 5 minutes
2502771620,Uxbridge,B08303_003,418,151,2010,5 to 9 minutes
2502771620,Uxbridge,B08303_004,613,172,2010,10 to 14 minutes
2502771620,Uxbridge,B08303_005,517,168,2010,15 to 19 minutes
2502771620,Uxbridge,B08303_006,891,214,2010,20 to 24 minutes
2502771620,Uxbridge,B08303_007,428,159,2010,25 to 29 minutes
2502771620,Uxbridge,B08303_008,991,206,2010,30 to 34 minutes
2502771620,Uxbridge,B08303_009,390,124,2010,35 to 39 minutes
2502771620,Uxbridge,B08303_010,457,136,2010,40 to 44 minutes
2502771620,Uxbridge,B08303_011,699,233,2010,45 to 59 minutes
2502771620,Uxbridge,B08303_012,596,152,2010,60 to 89 minutes
2502771620,Uxbridge,B08303_013,193,102,2010,90 or more minutes
2502773090,Warren,B08303_002,184,105,2010,Less than 5 minutes
2502773090,Warren,B08303_003,127,71,2010,5 to 9 minutes
2502773090,Warren,B08303_004,128,95,2010,10 to 14 minutes
2502773090,Warren,B08303_005,94,67,2010,15 to 19 minutes
2502773090,Warren,B08303_006,377,156,2010,20 to 24 minutes
2502773090,Warren,B08303_007,266,139,2010,25 to 29 minutes
2502773090,Warren,B08303_008,236,125,2010,30 to 34 minutes
2502773090,Warren,B08303_009,173,104,2010,35 to 39 minutes
2502773090,Warren,B08303_010,43,47,2010,40 to 44 minutes
2502773090,Warren,B08303_011,251,107,2010,45 to 59 minutes
2502773090,Warren,B08303_012,198,113,2010,60 to 89 minutes
2502773090,Warren,B08303_013,57,53,2010,90 or more minutes
2502773895,Webster,B08303_002,173,96,2010,Less than 5 minutes
2502773895,Webster,B08303_003,1076,244,2010,5 to 9 minutes
2502773895,Webster,B08303_004,940,246,2010,10 to 14 minutes
2502773895,Webster,B08303_005,630,157,2010,15 to 19 minutes
2502773895,Webster,B08303_006,840,201,2010,20 to 24 minutes
